time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-08-03T07:09:50.380Z,54.1647,169.2603,18.81,4.4,mb,,141,6.42,0.87,us,us2000a3zi,2017-08-03T07:23:43.040Z,"239km ESE of Nikol'skoye, Russia",earthquake,13.2,6.3,0.088,37,reviewed,us,us
2017-08-03T06:40:44.070Z,35.6703,-97.4075,5.77,3.5,mb_lg,,68,0.131,0.15,us,us2000a3za,2017-08-03T22:03:27.976Z,"6km ENE of Edmond, Oklahoma",earthquake,1.1,2.2,0.042,151,reviewed,us,us
2017-08-03T05:28:35.850Z,-2.3869,138.9926,35,4.8,mb,,125,6.757,0.41,us,us2000a3z6,2017-08-03T06:12:18.040Z,"178km W of Abepura, Indonesia",earthquake,7.7,1.9,0.07,64,reviewed,us,us
2017-08-03T05:22:10.070Z,60.0583,-139.4886,6.9,2.8,ml,,,,0.79,ak,ak16413890,2017-08-03T05:29:45.450Z,"58km NNE of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-08-03T04:45:05.190Z,36.084,139.9259,55.68,4.5,mb,,127,1.464,1.09,us,us2000a3yx,2017-08-03T23:22:18.334Z,"4km NNE of Iwai, Japan",earthquake,5.7,7.7,0.044,153,reviewed,us,us
2017-08-03T04:37:59.100Z,36.4612,-98.8317,14.89,3.2,mb_lg,,182,0.074,0.94,us,us2000a3yv,2017-08-03T06:57:11.718Z,"33km E of Mooreland, Oklahoma",earthquake,4,6.8,0.05,103,reviewed,us,us
2017-08-03T04:33:52.520Z,36.4556,-98.7933,7.11,3.2,mb_lg,,82,0.047,0.2,us,us2000a3yu,2017-08-03T04:52:23.818Z,"34km NW of Fairview, Oklahoma",earthquake,1.4,2.7,0.047,116,reviewed,us,us
2017-08-03T03:26:34.560Z,37.0535011,-118.2713318,5.97,2.67,md,22,118,0.033,0.09,nc,nc72858141,2017-08-04T02:36:15.399Z,"11km S of Big Pine, California",earthquake,0.72,0.72,0.18,15,automatic,nc,nc
2017-08-03T03:15:54.720Z,44.7915,-111.022,10.84,2.64,ml,17,118,0.03409,0.12,uu,uu60221037,2017-08-03T15:24:02.660Z,"15km NNE of West Yellowstone, Montana",earthquake,0.41,0.5,0.074,7,reviewed,uu,uu
2017-08-03T03:02:07.820Z,44.7895,-111.0181667,10.87,2.55,ml,19,117,0.03136,0.13,uu,uu60221027,2017-08-03T15:16:49.210Z,"15km NNE of West Yellowstone, Montana",earthquake,0.35,0.54,0.135,7,reviewed,uu,uu
2017-08-03T02:56:37.170Z,35.6785,-97.4164,2.26,4.2,mwr,,66,0.121,0.44,us,us2000a3y4,2017-08-04T02:36:30.890Z,"6km ENE of Edmond, Oklahoma",earthquake,1.2,6.2,0.032,94,reviewed,us,us
2017-08-03T02:24:22.329Z,60.013,-141.0927,3.4,2.7,ml,,,,0.81,ak,ak16411890,2017-08-03T02:32:19.672Z,"74km E of Cape Yakataga, Alaska",earthquake,,0.2,,,automatic,ak,ak
